FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,5000,int16,16,yc0,1,5.5MW PCS1-模块1电池电压,model=4|arg1=emu1.PcsList[0].BatteryVoltage|arg2=|arg3=|arg4=1
4,5001,int16,16,yc1,1,5.5MW PCS1-模块1电池电流,model=4|arg1=emu1.PcsList[0].BatteryCurrent|arg2=|arg3=|arg4=1
4,5002,int16,16,yc2,1,5.5MW PCS1-模块1母线电压,0
4,5003,u16,16,yc3,1,5.5MW PCS1-模块1电感电流 R,model=4|arg1=emu1.PcsList[0].PhaseACurrent|arg2=|arg3=|arg4=1
4,5004,u16,16,yc4,1,5.5MW PCS1-模块1电感电流 S,model=4|arg1=emu1.PcsList[0].PhaseBCurrent|arg2=|arg3=|arg4=1
4,5005,u16,16,yc5,1,5.5MW PCS1-模块1电感电流 T,model=4|arg1=emu1.PcsList[0].PhaseCCurrent|arg2=|arg3=|arg4=1
4,5006,int16,16,yc6,1,5.5MW PCS1-模块2电池电压,model=4|arg1=emu1.PcsList[1].BatteryVoltage|arg2=|arg3=|arg4=1
4,5007,int16,16,yc7,1,5.5MW PCS1-模块2电池电流,model=4|arg1=emu1.PcsList[1].BatteryCurrent|arg2=|arg3=|arg4=1
4,5008,int16,16,yc8,1,5.5MW PCS1-模块2母线电压,0
4,5009,u16,16,yc9,1,5.5MW PCS1-模块2电感电流 R,model=4|arg1=emu1.PcsList[1].PhaseACurrent|arg2=|arg3=|arg4=1
4,5010,u16,16,yc10,1,5.5MW PCS1-模块2电感电流 S,model=4|arg1=emu1.PcsList[1].PhaseBCurrent|arg2=|arg3=|arg4=1
4,5011,u16,16,yc11,1,5.5MW PCS1-模块2电感电流 T,model=4|arg1=emu1.PcsList[1].PhaseCCurrent|arg2=|arg3=|arg4=1
4,5012,u16,16,yc12,1,5.5MW PCS1-交流电流 R,model=sum|arg1=emu1.PcsList[0].PhaseACurrent|arg2=emu1.PcsList[1].PhaseACurrent|arg3=|arg4=1
